Tulane,TUL,,11,Ark.-Pine Bluff,ARPB,,4,,9,2014-02-16
Mercer,MER,,4,High Point,HPU,,3,,9,2014-02-16
UTRGV,UTRG,,0,A&M-Corpus Christi,AMCC,,10,,7,2014-02-16
,,,9,Utah Valley,UVU,,2,,9,2014-02-16
Abilene Christian,ACU,,14,,,,4,,7,2014-02-16
NC State,NCST,,0,Canisius,CAN,,3,,9,2014-02-16
,,,5,SFA,SFA,,12,"@Arlington, Texas        ",9,2014-02-16
Ohio,OHIO,,7,Murray St.,MUR,,6,"@Columbia, Tenn.        ",9,2014-02-16
Michigan St.,MSU,,1,Wright St.,WRST,,7,"@Nashville, TN        ",9,2014-02-16
William & Mary,WM,,2,Army West Point,ARMY,,4,,9,2014-02-16
Winthrop,WIN,,6,,,,5,,10,2014-02-16
